Values filename,date and time,FIREBIRD Unit,POES / MetOp,FB >100 keV (E2) equivlent counts,FB >300 keV (E3) equivalent counts,FB >600 keV (P6) equivalent counts,POES 0 deg > 100 keV (E2),POES 0 deg > 300 keV (E3),POES 0 deg >600 keV (P6),POES 90 deg (E2),POES 90 deg (E3),POES 90 deg (P6),geo mean (E2),geo mean (E3),geo mean (P6),MLT,hemisphere
20200221_20,2/21/20 20:00,4,n18,75.38,28.25,2.32,3.81,1.33,1.5,1392.5,388.75,27.81,68.4,22.38,6.57,1,S
20200222,2/22/20,4,n15,206.98,91.37,11.3,2.18,2,1.75,1758.16,514.5,16,69.2,30.9,5.4,1,N
20200223,2/23/20,4,n15,183.52,88.45,15.72,3.76,1.87,1.72,1037.65,458.88,21.61,59.56,28.11,6.04,1,S
20200226,2/26/20,4,n18,83.89,37.37,32.91,3.21,1.9,1.6,483.23,288.03,30.3,37.89,22.68,6.9,1,S
20200504,5/4/20,4,n18,6.12,2.8,0.48,1.9,1.62,1.71,61.91,38.33,3.5,10.57,7.43,2.19,1,S
20200510,5/10/20,4,n19,6.66,2.73,0.31,1.75,1.14,1.25,81.27,37.7,2.4,11.13,5.98,1.75,1,S
20200511,5/11/20,4,n15,9.55,4.56,0.85,2.33,1.88,1.28,21.75,12,1.92,6.69,4.31,1.46,1,S
20200727,7/27/20,4,m02,180.56,79.4,10.02,2.33,1.71,1,1330.16,676.83,16.66,51.85,31.7,3.97,1,N
20200729,7/29/20,4,m01,73.69,33.28,4.71,1.9,1.5,1.57,313.34,209.26,9.31,23.66,17.08,3.68,1,S
20200803_16,8/3/20 16:00,4,m01,279.67,91.67,5.42,1903.5,9,1,2065.96,451.19,6,88.49,29.49,3.21,1,S
